obs_mode,train_scenario,test_scenario,algo,reward_config,curriculum,seed,reward_mean,reward_std,ch4_avg,ch4_std,violation_rate,violation_rate_std,overall_score,terminated_rate,ph_mean,vfa_max_mean,vfa_cvar95,vfa_worst_episode,score_worst,score_cvar95
full,low_load,nominal,sac,safety_first,False,42,-1.734593985828408,2.340555645717801e-16,2287.938965482116,4.793457962430056e-13,0.9487758291370028,2.340555645717801e-16,0.6546382886026406,0.0,7.301646484998953,0.33217283484352256,0.948775829137003,0.948775829137003,0.6546382886026406,-0.6546382886026406
full,low_load,high_load,sac,safety_first,False,42,-3.4410492068817566,4.681111291435602e-16,2259.9506444768863,4.793457962430056e-13,0.9968744573710714,0.0,0.6417824003885493,0.0,7.369635649303197,0.5467676975900411,0.9968744573710714,0.9968744573710714,0.6417824003885493,-0.6417824003885493
full,low_load,low_load,sac,safety_first,False,42,0.7447708336730511,1.1702778228589004e-16,1833.3774080192102,4.793457962430056e-13,0.024657058517103668,3.657118196434064e-18,0.9247243220764572,0.0,7.189051764487457,0.20977290571540536,0.024657058517103665,0.024657058517103665,0.9247243220764572,-0.9247243220764572
full,low_load,shock_load,sac,safety_first,False,42,-1.7403757545768435,2.340555645717801e-16,2288.222725663571,0.0,0.95051224170863,0.0,0.6539517596398463,0.0,7.302133880125433,0.33229151976590005,0.95051224170863,0.95051224170863,0.6539517596398463,-0.6539517596398463
full,low_load,temperature_drop,sac,safety_first,False,42,-1.7316459763231324,0.0,2288.2133591066786,0.0,0.9482549053655148,0.0,0.6548794478114841,0.0,7.301663914361124,0.3317715306073597,0.9482549053655148,0.9482549053655148,0.6548794478114841,-0.6548794478114841
full,low_load,cold_winter,sac,safety_first,False,42,-0.4875925151689719,5.851389114294502e-17,1235.4420677365013,0.0,0.6488973780170169,0.0,0.5193591959333707,0.0,7.189056211165015,0.3955510580593661,0.6488973780170169,0.6488973780170169,0.5193591959333707,-0.5193591959333707
full,low_load,nominal,sac,safety_first,False,123,-1.1989177252449876,0.0,1973.3373024143737,0.0,0.9157839902760896,0.0,0.5995979587636604,0.0,7.3135783475859695,0.28131398814264896,0.9157839902760896,0.9157839902760896,0.5995979587636604,-0.5995979587636604
full,low_load,high_load,sac,safety_first,False,123,-3.476243200852712,0.0,2172.34435065111,0.0,0.9835040805695433,0.0,0.6208633300415315,0.0,7.374904137723182,0.6270955429251124,0.9835040805695433,0.9835040805695433,0.6208633300415314,-0.6208633300415314
full,low_load,low_load,sac,safety_first,False,123,0.6699586072092869,0.0,1650.062261073214,2.396728981215028e-13,0.0,0.0,0.908247659848094,0.0,7.190594261851952,0.18146426476240135,0.0,0.0,0.9082476598480939,-0.9082476598480939
full,low_load,shock_load,sac,safety_first,False,123,-1.201878729735815,0.0,1974.6302064965305,2.396728981215028e-13,0.9163049140475777,0.0,0.5995967393057746,0.0,7.313703113432399,0.28119176980125404,0.9163049140475777,0.9163049140475777,0.5995967393057745,-0.5995967393057745
