obs_mode,train_scenario,test_scenario,algo,reward_config,seed,reward_mean,reward_std,ch4_avg,ch4_std,violation_rate,violation_rate_std,overall_score,terminated_rate,ph_mean,vfa_max_mean,vfa_cvar95,vfa_worst_episode,score_worst,score_cvar95,curriculum
full,shock_load,low_load,sac,safety_first,456,0.4794719501,5.551115123e-17,1152.9366521689,0.0,0.0,0.0,0.7832300328,0.0,7.1447174523,0.1702201981,0.0,0.0,0.7832300328,-0.7832300328,False
full,shock_load,temperature_drop,sac,safety_first,456,0.6900135812,1.110223025e-16,1641.6852258389,0.0,0.0232719694,0.0,0.8728685609,0.0,7.2266637312,0.2050233392,0.0232719694,0.0232719694,0.8728685609,-0.8728685609,False
full,shock_load,cold_winter,sac,safety_first,456,-1.3574631479,0.0,1322.6648725647,0.0,0.8033240997,1.110223025e-16,-9.530443304,1.0,7.1199449707,0.8014315758,0.8033240997,0.8033240997,-9.530443304,9.530443304,False
full,shock_load,recovery_test,sac,safety_first,456,0.6370422502,0.0,1548.4920215432,0.0,0.0250130276,3.469446952e-18,0.8453746642,0.0,7.2412660638,0.1935958545,0.0250130276,0.0250130276,0.8453746642,-0.8453746642,False
full,low_load,nominal,sac,safety_first,42,0.3413949323,0.0,1667.6236653248,0.0,0.2691906912,5.551115123e-17,0.7797831696,0.0,7.2450566367,0.2042996502,0.2691906912,0.2691906912,0.7797831696,-0.7797831696,False
full,low_load,high_load,sac,safety_first,42,-1.5475325385,2.220446049e-16,2113.7279703125,0.0,1.5765890934,0.0,0.5776787253,0.0,7.2950090861,0.3450950539,1.5765890934,1.5765890934,0.5776787253,-0.5776787253,False
full,low_load,shock_load,sac,safety_first,42,0.3173643328,0.0,1672.7331109745,0.0,0.2865578326,5.551115123e-17,0.7738629901,0.0,7.2457587352,0.2038531158,0.2865578326,0.2865578326,0.7738629901,-0.7738629901,False
full,low_load,low_load,sac,safety_first,42,0.5005587895,0.0,1176.3846077045,0.0,0.0,0.0,0.7881555455,0.0,7.1667312145,0.1620070091,0.0,0.0,0.7881555455,-0.7881555455,False
full,low_load,temperature_drop,sac,safety_first,42,0.3419036555,0.0,1667.5912505219,0.0,0.2688433484,5.551115123e-17,0.7799137582,0.0,7.2450283997,0.204318294,0.2688433484,0.2688433484,0.7799137582,-0.7799137582,False
full,low_load,cold_winter,sac,safety_first,42,-0.7277228498,1.110223025e-16,1363.1789051155,0.0,0.7295698925,0.0,-9.4912722313,1.0,7.1469050442,0.8036425238,0.7295698925,0.7295698925,-9.4912722313,9.4912722313,False
full,low_load,recovery_test,sac,safety_first,42,0.1010080407,1.387778781e-17,1571.7969358045,0.0,0.3944762897,0.0,0.7024614339,0.0,7.2549236518,0.1976874967,0.3944762897,0.3944762897,0.7024614339,-0.7024614339,False
full,low_load,nominal,sac,safety_first,123,0.4134611123,0.0,1664.9862725425,0.0,0.2198680097,0.0,0.7989777981,0.0,7.243542629,0.2041477302,0.2198680097,0.2198680097,0.7989777981,-0.7989777981,False
full,low_load,high_load,sac,safety_first,123,-1.5353857679,0.0,2111.1834662443,0.0,1.5748523793,2.220446049e-16,0.5771482535,0.0,7.2937936883,0.3412087017,1.5748523793,1.5748523793,0.5771482535,-0.5771482535,False
full,low_load,shock_load,sac,safety_first,123,0.3358238233,0.0,1670.0951127576,0.0,0.2730114623,5.551115123e-17,0.7787473705,0.0,7.2442482399,0.2036937505,0.2730114623,0.2730114623,0.7787473705,-0.7787473705,False
